method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
fixed_level_4,0.10234058050993251,0.02040916495025158,0.5026178010471204,20260907,0.8925233644859814,30.32460732984293
operational_theorem_frontier,0.10759538893634855,0.019890474155545235,0.5,20260907,1.0,0.0
operational_mean_frontier,0.10722359277681774,0.019833186641335487,0.5,20260907,1.0,68.38785046728972
old_score_proxy,0.10807443108934016,0.020800795406103134,0.48130841121495327,20260907,1.0,142.62616822429908
base,0.10738784182424022,0.018652265891432762,0.5794392523364486,20260908,1.0,0.0
fixed_level_1,0.10769743873829686,0.018656998872756958,0.5794392523364486,20260908,1.0,195.02803738317758
fixed_level_2,0.10854378771283668,0.017287470400333405,0.5981308411214953,20260908,1.0,173.22429906542055
fixed_level_3,0.10626371520646125,0.017065009102225304,0.6105769230769231,20260908,0.9719626168224299,101.09134615384616
fixed_level_4,0.1104031605333238,0.015573393553495407,0.6108108108108108,20260908,0.8644859813084113,31.2972972972973
operational_theorem_frontier,0.10738784182424022,0.018652265891432762,0.5794392523364486,20260908,1.0,0.0
operational_mean_frontier,0.10788101624343635,0.018350746482610703,0.5887850467289719,20260908,1.0,66.98598130841121
old_score_proxy,0.10802567433847131,0.018676290288567543,0.5747663551401869,20260908,1.0,157.7196261682243
base,0.11030058159898172,0.019054125994443893,0.4672897196261682,20260909,1.0,0.0
fixed_level_1,0.11060818117495583,0.018441874533891678,0.4672897196261682,20260909,1.0,197.97663551401868
fixed_level_2,0.11089578645773317,0.018239490687847137,0.4719626168224299,20260909,1.0,177.7710280373832
fixed_level_3,0.10903250322038137,0.01836325041949749,0.4807692307692308,20260909,0.9719626168224299,93.78365384615384
fixed_level_4,0.1073424481637309,0.018706245347857475,0.48404255319148937,20260909,0.8785046728971962,24.51063829787234
operational_theorem_frontier,0.11030058159898172,0.019054125994443893,0.4672897196261682,20260909,1.0,0.0
operational_mean_frontier,0.10966550066707678,0.019360311329364777,0.46261682242990654,20260909,1.0,38.873831775700936
old_score_proxy,0.11000983330067093,0.019268209114670753,0.4532710280373832,20260909,1.0,140.98130841121494
base,0.10949395967976494,0.016079282388091087,0.5093457943925234,20260910,1.0,0.0
fixed_level_1,0.10942812114701964,0.017516715452075005,0.4953271028037383,20260910,1.0,192.6448598130841
