method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
old_score_proxy,0.10856788281652258,0.016239028424024582,0.5093457943925234,20260910,1.0,88.57943925233644
base,0.10856496399839732,0.022127028554677963,0.4532710280373832,20260911,1.0,0.0
fixed_level_1,0.10863477919867283,0.022022509947419167,0.4672897196261682,20260911,1.0,189.25233644859813
fixed_level_2,0.10861164244993565,0.021946679800748825,0.4672897196261682,20260911,1.0,164.59345794392524
fixed_level_3,0.10842129462717863,0.022260606288909912,0.46153846153846156,20260911,0.9719626168224299,72.74038461538461
fixed_level_4,0.10729883766977394,0.02124803327023983,0.46408839779005523,20260911,0.8457943925233645,12.049723756906078
operational_theorem_frontier,0.10856496399839732,0.022127028554677963,0.4532710280373832,20260911,1.0,0.0
operational_mean_frontier,0.1084657394815473,0.021745944395661354,0.4719626168224299,20260911,1.0,55.53738317757009
old_score_proxy,0.10808648258402975,0.021970456466078758,0.45794392523364486,20260911,1.0,58.49065420560748
base,0.10954116877666492,0.0180355217307806,0.5186915887850467,20260912,1.0,0.0
fixed_level_1,0.1106071939040112,0.015581668354570866,0.5607476635514018,20260912,1.0,182.57009345794393
fixed_level_2,0.1106195600663689,0.015463266521692276,0.5607476635514018,20260912,1.0,156.90654205607476
fixed_level_3,0.10928729724164706,0.015896543860435486,0.5463414634146342,20260912,0.9579439252336449,71.35121951219512
fixed_level_4,0.10542200661284791,0.016443613916635513,0.56875,20260912,0.7476635514018691,13.9625
operational_theorem_frontier,0.10954116877666492,0.0180355217307806,0.5186915887850467,20260912,1.0,0.0
operational_mean_frontier,0.1087143285429875,0.016724077984690666,0.5467289719626168,20260912,1.0,47.53738317757009
old_score_proxy,0.11009549042785456,0.01628492958843708,0.5467289719626168,20260912,1.0,137.18691588785046
base,0.10916285863299846,0.018547868356108665,0.4719626168224299,20260913,1.0,0.0
fixed_level_1,0.10856928609316233,0.019162695854902267,0.4672897196261682,20260913,1.0,191.77570093457945
fixed_level_2,0.10859278422443433,0.019008969888091087,0.4672897196261682,20260913,1.0,163.36915887850466
fixed_level_3,0.10828812355647553,0.01864253170788288,0.4827586206896552,20260913,0.9485981308411215,75.8128078817734
fixed_level_4,0.10675363785906057,0.018800806254148483,0.49411764705882355,20260913,0.794392523364486,12.864705882352942
operational_theorem_frontier,0.10916285863299846,0.018547868356108665,0.4719626168224299,20260913,1.0,0.0
operational_mean_frontier,0.10846025036569605,0.01877562142908573,0.4672897196261682,20260913,1.0,101.8411214953271
old_score_proxy,0.10821161652530469,0.018638331443071365,0.4766355140186916,20260913,1.0,123.06542056074767
base,0.10851033291908624,0.018490295857191086,0.48598130841121495,20260914,1.0,0.0
fixed_level_1,0.10845771869467923,0.019169799983501434,0.48598130841121495,20260914,1.0,193.52803738317758
fixed_level_2,0.10888119398575395,0.018800614401698112,0.4953271028037383,20260914,1.0,163.15420560747663
fixed_level_3,0.10753232501808935,0.017172686755657196,0.5196078431372549,20260914,0.9532710280373832,75.80882352941177
fixed_level_4,0.10479122153751735,0.01728067919611931,0.5,20260914,0.822429906542056,13.318181818181818
operational_theorem_frontier,0.10851033291908624,0.018490295857191086,0.48598130841121495,20260914,1.0,0.0
operational_mean_frontier,0.10811161670617302,0.017761817201972008,0.4953271028037383,20260914,1.0,42.13551401869159
old_score_proxy,0.10802280918670303,0.018428707495331764,0.5046728971962616,20260914,1.0,96.8785046728972
base,0.1137492225517375,0.020290855318307877,0.4719626168224299,20260915,1.0,0.0
fixed_level_1,0.11371236110785586,0.020929940044879913,0.4532710280373832,20260915,1.0,185.67757009345794
fixed_level_2,0.11447394516727744,0.021127454936504364,0.4532710280373832,20260915,1.0,157.80373831775702
fixed_level_3,0.11454366998757547,0.019541868939995766,0.47368421052631576,20260915,0.9766355140186916,73.04306220095694
fixed_level_4,0.1061300966897105,0.020792149007320404,0.44886363636363635,20260915,0.822429906542056,12.840909090909092
operational_theorem_frontier,0.1137492225517375,0.020290855318307877,0.4719626168224299,20260915,1.0,0.0
operational_mean_frontier,0.11376314151775294,0.020122041925787926,0.4719626168224299,20260915,1.0,55.7196261682243
old_score_proxy,0.11329859972716838,0.020604966208338737,0.45794392523364486,20260915,1.0,108.35981308411215
base,0.11091403784088776,0.02228674106299877,0.4672897196261682,20260916,1.0,0.0
fixed_level_1,0.11024148484143333,0.021995972841978073,0.4719626168224299,20260916,1.0,184.35046728971963
fixed_level_2,0.11022809401207445,0.02191270887851715,0.46261682242990654,20260916,1.0,159.11682242990653
fixed_level_3,0.10755472556679722,0.020719245076179504,0.48058252427184467,20260916,0.9626168224299065,73.97087378640776
fixed_level_4,0.1061774680113851,0.020630627870559692,0.5,20260916,0.8037383177570093,13.866279069767442
operational_theorem_frontier,0.11091403784088776,0.02228674106299877,0.4672897196261682,20260916,1.0,0.0
operational_mean_frontier,0.10956773846556582,0.021222783252596855,0.4719626168224299,20260916,1.0,54.73364485981308
